Sl No.,Easting,Northing,Distance,Elevation,CS No.,
1167,771112.0,2575229.5,240.15,-1.518,15,
1168,771108.8,2575232.0,244.18,-1.290,15,
1169,771108.0,2575232.7,245.23,-1.236,15,
1170,771104.0,2575235.8,250.32,-0.910,15,
1171,771103.7,2575236.0,250.67,-0.888,15,
1172,771100.0,2575238.9,255.40,-0.703,15,
1173,771098.6,2575240.0,257.15,-0.665,15,
1174,771096.0,2575242.0,260.48,-0.555,15,
1175,771093.5,2575244.0,263.64,-0.381,15,
1176,771092.0,2575245.2,265.56,-0.289,15,
1177,771088.4,2575248.0,270.13,-0.144,15,
1178,771088.0,2575248.3,270.64,-0.128,15,
1179,771084.0,2575251.4,275.72,-0.094,15,
1180,771083.4,2575251.9,276.51,-0.078,15,
1181,771292.7,2575073.6,0.00,5.776,16,
1182,771292.0,2575074.1,8.49,5.471,16,
1183,771289.7,2575076.0,24.43,5.154,16,
1184,771288.0,2575077.3,33.76,5.186,16,
1185,771284.7,2575080.0,34.93,4.355,16,
1186,771284.0,2575080.6,36.94,3.887,16,
1187,771280.0,2575083.8,37.97,2.786,16,
1188,771279.7,2575084.0,39.40,2.186,16,
1189,771276.0,2575087.0,41.56,1.338,16,
1190,771274.8,2575088.0,43.70,0.684,16,
1191,771272.0,2575090.2,47.09,-2.023,16,
1192,771269.8,2575092.0,48.52,-2.235,16,
1193,771268.0,2575093.4,52.22,-2.616,16,
1194,771264.8,2575096.0,54.90,-2.983,16,
1195,771248.0,2575109.5,57.36,-2.790,16,
1196,771244.9,2575112.0,61.28,-2.341,16,
1197,771244.0,2575112.8,62.49,-2.563,16,
1198,771240.0,2575116.0,67.63,-4.648,16,
1199,771240.0,2575116.0,67.65,-4.658,16,
1200,771236.0,2575119.2,72.76,-6.567,16,
1201,771235.0,2575120.0,74.03,-7.071,16,
1202,771232.0,2575122.4,77.90,-8.512,16,
1203,771230.0,2575124.0,80.41,-9.117,16,
1204,771228.0,2575125.6,83.03,-9.981,16,
1205,771225.1,2575128.0,86.79,-10.865,16,
1206,771224.0,2575128.9,88.17,-11.143,16,
1207,771220.1,2575132.0,93.17,-11.877,16,
1208,771220.0,2575132.1,93.30,-11.890,16,
1209,771216.0,2575135.3,98.43,-12.730,16,
1210,771215.1,2575136.0,99.55,-12.901,16,
1211,771212.0,2575138.5,103.57,-13.697,16,
1212,771210.2,2575140.0,105.93,-13.786,16,
1213,771208.0,2575141.7,108.70,-13.547,16,
1214,771205.2,2575144.0,112.31,-13.095,16,
1215,771204.0,2575145.0,113.84,-12.845,16,
1216,771200.2,2575148.0,118.69,-12.550,16,
1217,771200.0,2575148.2,118.97,-12.529,16,
1218,771196.0,2575151.4,124.11,-12.552,16,
1219,771195.3,2575152.0,125.07,-12.447,16,
1220,771192.0,2575154.6,129.24,-11.559,16,
1221,771190.3,2575156.0,131.45,-10.849,16,
1222,771188.0,2575157.8,134.38,-10.261,16,
1223,771185.3,2575160.0,137.83,-9.832,16,
1224,771184.0,2575161.1,139.51,-9.814,16,
1225,771180.3,2575164.0,144.21,-9.692,16,
1226,771180.0,2575164.3,144.65,-9.696,16,
1227,771176.0,2575167.5,149.78,-9.883,16,
1228,771175.4,2575168.0,150.59,-9.910,16,
1229,771172.0,2575170.7,154.92,-9.969,16,
1230,771170.4,2575172.0,156.97,-9.935,16,
1231,771168.0,2575173.9,160.05,-9.847,16,
1232,771165.4,2575176.0,163.35,-9.793,16,
1233,771164.0,2575177.2,165.19,-9.731,16,
1234,771160.5,2575180.0,169.73,-9.543,16,
1235,771160.0,2575180.4,170.32,-9.507,16,
1236,771156.0,2575183.6,175.46,-9.160,16,
1237,771155.5,2575184.0,176.11,-9.125,16,
1238,771152.0,2575186.8,180.59,-8.848,16,
1239,771150.5,2575188.0,182.49,-8.761,16,
1240,771148.0,2575190.0,185.72,-8.607,16,
1241,771145.6,2575192.0,188.86,-8.354,16,
1242,771144.0,2575193.3,190.86,-8.123,16,
1243,771140.6,2575196.0,195.24,-7.543,16,
1244,771140.0,2575196.5,195.99,-7.435,16,
1245,771136.0,2575199.7,201.13,-6.836,16,
1246,771135.6,2575200.0,201.62,-6.771,16,
1247,771132.0,2575202.9,206.26,-6.066,16,
1248,771130.6,2575204.0,208.00,-5.839,16,
1249,771128.0,2575206.1,211.40,-5.352,16,
1250,771125.7,2575208.0,214.38,-4.895,16,
1251,771124.0,2575209.3,216.53,-4.550,16,
1252,771120.7,2575212.0,220.76,-3.824,16,
1253,771120.0,2575212.6,221.67,-3.678,16,
1254,771116.0,2575215.8,226.80,-2.891,16,
1255,771115.7,2575216.0,227.14,-2.845,16,
1256,771112.0,2575219.0,231.94,-2.297,16,
1257,771110.8,2575220.0,233.52,-2.139,16,
1258,771108.0,2575222.2,237.07,-1.818,16,
1259,771105.8,2575224.0,239.90,-1.587,16,
1260,771104.0,2575225.4,242.21,-1.427,16,
1261,771100.8,2575228.0,246.28,-1.187,16,
1262,771100.0,2575228.7,247.34,-1.125,16,
1263,771096.0,2575231.9,252.48,-0.869,16,
1264,771095.9,2575232.0,252.66,-0.859,16,
1265,771092.0,2575235.1,257.61,-0.628,16,
1266,771090.9,2575236.0,259.04,-0.569,16,
1267,771088.0,2575238.3,262.75,-0.402,16,
1268,771085.9,2575240.0,265.42,-0.273,16,
1269,771084.0,2575241.5,267.88,-0.160,16,
1270,771080.9,2575244.0,271.80,-0.004,16,
1271,771080.0,2575244.8,273.01,0.012,16,
1272,771077.6,2575246.7,276.08,0.099,16,
1273,771281.1,2575062.0,0.00,6.014,17,
1274,771280.0,2575063.0,0.54,6.020,17,
1275,771278.9,2575064.0,5.87,5.924,17,
1276,771276.0,2575066.5,12.76,5.732,17,
1277,771274.3,2575068.0,12.76,5.732,17,
1278,771272.0,2575070.0,13.18,5.093,17,
1279,771269.8,2575072.0,15.02,4.305,17,
1280,771268.0,2575073.6,17.63,3.009,17,
1281,771265.2,2575076.0,18.04,2.250,17,
1282,771264.0,2575077.1,20.68,1.332,17,
1283,771260.6,2575080.0,23.73,1.360,17,
1284,771260.0,2575080.6,24.71,0.032,17,
1285,771256.1,2575084.0,33.32,-1.116,17,
1286,771256.0,2575084.1,33.43,-1.139,17,
1287,771252.0,2575087.6,38.75,-2.125,17,
1288,771251.5,2575088.0,39.39,-2.278,17,
1289,771248.0,2575091.1,44.06,-3.144,17,
1290,771246.9,2575092.0,45.46,-3.442,17,
1291,771244.0,2575094.6,49.38,-4.269,17,
1292,771242.4,2575096.0,51.53,-4.563,17,
1293,771240.0,2575098.1,54.70,-4.786,17,
1294,771237.8,2575100.0,57.60,-5.371,17,
1295,771236.0,2575101.6,60.02,-6.068,17,
1296,771233.3,2575104.0,63.67,-7.271,17,
1297,771232.0,2575105.1,65.34,-7.661,17,
1298,771228.7,2575108.0,69.74,-8.445,17,
1299,771228.0,2575108.6,70.66,-8.589,17,
1300,771224.1,2575112.0,75.81,-9.381,17,
1301,771224.0,2575112.1,75.97,-9.415,17,
1302,771220.0,2575115.6,81.29,-10.191,17,
1303,771219.6,2575116.0,81.88,-10.252,17,
1304,771216.0,2575119.1,86.61,-10.846,17,
1305,771215.0,2575120.0,87.95,-11.038,17,
1306,771212.0,2575122.6,91.93,-11.709,17,
1307,771210.4,2575124.0,94.02,-12.122,17,
1308,771208.0,2575126.1,97.25,-12.629,17,
1309,771205.9,2575128.0,100.09,-12.989,17,
1310,771204.0,2575129.6,102.57,-13.242,17,
1311,771201.3,2575132.0,106.15,-13.495,17,
1312,771200.0,2575133.1,107.89,-13.548,17,
1313,771196.7,2575136.0,112.22,-13.603,17,
1314,771196.0,2575136.6,113.20,-13.587,17,
