N,E,RL,Section No,pointno
2646776.44,715649.27,2.88,3,P220
2646776.26,715650.61,2.8,3,P221
2646776.1,715651.9,2.71,3,P222
2646775.93,715653.18,2.63,3,P223
2646775.79,715654.44,2.55,3,P224
2646775.65,715655.68,2.48,3,P225
2646775.51,715656.9,2.43,3,P226
2646775.37,715658.09,2.37,3,P227
2646775.26,715659.25,2.32,3,P228
2646775.14,715660.4,2.26,3,P229
2646775.02,715661.53,2.21,3,P230
2646774.92,715662.65,2.15,3,P231
2646774.82,715663.75,2.08,3,P232
2646774.71,715664.84,2.03,3,P233
2646774.6,715665.93,1.98,3,P234
2646774.48,715666.99,1.94,3,P235
2646774.39,715668.06,1.89,3,P236
2646774.3,715669.12,1.84,3,P237
2646774.2,715670.16,1.79,3,P238
2646774.09,715671.19,1.75,3,P239
2646773.99,715672.22,1.71,3,P240
2646773.9,715673.23,1.67,3,P241
2646773.8,715674.23,1.64,3,P242
2646773.69,715675.26,1.61,3,P243
2646773.61,715676.28,1.59,3,P244
2646773.52,715677.29,1.56,3,P245
2646773.42,715678.3,1.54,3,P246
2646773.33,715679.31,1.56,3,P247
2646773.23,715680.3,1.43,3,P248
2646773.13,715681.28,1.31,3,P249
2646773.03,715682.25,1.36,3,P250
2646772.92,715683.23,1.36,3,P251
2646772.85,715684.2,1.34,3,P252
2646772.76,715685.2,1.33,3,P253
2646772.76,715686.16,1.3,3,P254
2646772.85,715687.07,1.27,3,P255
2646780.16,715691.25,2.12,4,P256
2646780.35,715690.81,2.22,4,P257
2646780.54,715690.37,2.11,4,P258
2646780.68,715689.9,2.17,4,P259
2646780.83,715689.46,2.1,4,P260
2646780.97,715688.96,2.04,4,P261
2646781.13,715688.4,1.98,4,P262
2646781.3,715687.76,1.95,4,P263
2646781.46,715687.05,1.91,4,P264
2646781.64,715686.28,1.85,4,P265
2646781.79,715685.42,1.78,4,P266
2646781.95,715684.47,1.73,4,P267
2646782.09,715683.46,1.68,4,P268
2646782.23,715682.4,1.72,4,P269
2646782.36,715681.26,1.66,4,P270
2646782.51,715680.06,1.7,4,P271
2646782.65,715678.79,1.74,4,P272
2646782.78,715677.45,1.79,4,P273
2646782.89,715676.07,1.84,4,P274
2646783.01,715674.62,1.88,4,P275
2646783.1,715673.13,1.95,4,P276
2646783.18,715671.61,2.01,4,P277
2646783.25,715670.05,2.07,4,P278
2646783.35,715668.45,2.13,4,P279
2646783.41,715666.82,2.19,4,P280
2646783.46,715665.17,2.26,4,P281
2646783.49,715663.5,2.33,4,P282
2646783.53,715661.84,2.41,4,P283
2646783.55,715660.17,2.48,4,P284
2646783.56,715658.54,2.54,4,P285
2646783.58,715656.89,2.59,4,P286
2646783.59,715655.25,2.64,4,P287
2646783.6,715653.64,2.7,4,P288
2646783.61,715652.05,2.76,4,P289
2646783.61,715650.47,2.82,4,P290
2646783.61,715648.94,2.88,4,P291
2646783.58,715647.42,2.95,4,P292
2646783.55,715645.93,3.02,4,P293
2646783.54,715644.48,3.11,4,P294
2646783.53,715643.07,3.23,4,P295
2646783.54,715641.72,3.36,4,P296
2646783.54,715640.42,3.51,4,P297
2646783.55,715639.16,3.67,4,P298
2646783.58,715637.92,3.84,4,P299
2646783.62,715636.71,4,4,P300
2646783.69,715635.52,4.18,4,P301
2646783.8,715634.32,4.35,4,P302
2646783.92,715633.15,4.53,4,P303
2646784.07,715631.98,4.72,4,P304
2646784.23,715630.86,4.89,4,P305
2646784.39,715629.74,5.06,4,P306
2646784.56,715628.64,5.25,4,P307
2646784.73,715627.54,5.43,4,P308
2646784.92,715626.46,5.61,4,P309
2646785.12,715625.41,5.8,4,P310
2646785.35,715624.39,6.02,4,P311
2646785.6,715623.39,6.24,4,P312
2646785.84,715622.4,6.51,4,P313
2646786.1,715621.42,6.78,4,P314
2646786.38,715620.48,7.05,4,P315
2646786.66,715619.54,7.31,4,P316
2646786.93,715618.6,7.55,4,P317
