N,E,RL,Section No,pointno
2646983.87,715581.62,14.43,13,P1380
2646986.45,715583.62,14.23,13,P1381
2646988.99,715585.59,13.96,13,P1382
2647000.72,715579.13,12.63,14,P1383
2646998.9,715578.15,13.21,14,P1384
2646997.07,715577.14,13.46,14,P1385
2646995.24,715576.11,13.73,14,P1386
2646993.4,715575.02,14,14,P1387
2646991.52,715573.88,14.22,14,P1388
2646989.61,715572.68,14.42,14,P1389
2646987.65,715571.46,14.87,14,P1390
2646985.67,715570.24,15.28,14,P1391
2646983.67,715569.03,15.69,14,P1392
2646981.66,715567.83,16.09,14,P1393
2646979.6,715566.61,16.48,14,P1394
2646977.53,715565.39,16.83,14,P1395
2646975.42,715564.18,17.2,14,P1396
2646973.29,715562.97,17.55,14,P1397
2646971.12,715561.74,17.89,14,P1398
2646968.92,715560.5,18.34,14,P1399
2646966.71,715559.26,18.76,14,P1400
2646964.51,715558,19.21,14,P1401
2646962.31,715556.69,19.65,14,P1402
2646960.13,715555.37,20.12,14,P1403
2646958.05,715554.1,20.56,14,P1404
2646956.07,715552.89,21.01,14,P1405
2646954.23,715551.69,21.39,14,P1406
2646952.53,715550.47,21.69,14,P1407
2646950.98,715549.23,21.88,14,P1408
2646949.54,715548,22.09,14,P1409
2646948.16,715546.75,22.22,14,P1410
2646946.82,715545.49,22.37,14,P1411
2646945.55,715544.26,22.4,14,P1412
2646944.33,715543.07,22.47,14,P1413
2646943.14,715541.94,22.48,14,P1414
2646941.94,715540.88,22.47,14,P1415
2646940.72,715539.87,22.43,14,P1416
2646939.48,715538.96,22.41,14,P1417
2646938.23,715538.12,22.41,14,P1418
2646936.95,715537.36,22.45,14,P1419
2646935.67,715536.65,22.39,14,P1420
2646934.39,715535.96,22.31,14,P1421
2646933.09,715535.27,22.12,14,P1422
2646931.85,715534.59,21.93,14,P1423
2646930.65,715533.92,21.73,14,P1424
2646929.48,715533.2,21.54,14,P1425
2646928.32,715532.41,21.35,14,P1426
2646927.19,715531.54,21.17,14,P1427
2646926.08,715530.62,21.01,14,P1428
2646925,715529.69,20.83,14,P1429
2646923.96,715528.73,20.66,14,P1430
2646922.97,715527.75,20.51,14,P1431
2646922.02,715526.75,20.38,14,P1432
2646921.12,715525.74,20.3,14,P1433
2646920.27,715524.74,20.17,14,P1434
2646918.72,715522.78,20.03,14,P1435
2646918,715521.82,19.9,14,P1436
2646917.29,715520.89,19.73,14,P1437
2646916.6,715519.97,19.52,14,P1438
2646915.91,715519.1,19.34,14,P1439
2646915.23,715518.24,19.11,14,P1440
2646914.55,715517.45,18.81,14,P1441
2646913.89,715516.71,18.5,14,P1442
2646913.23,715516,18.18,14,P1443
2646912.56,715515.33,17.82,14,P1444
2646911.89,715514.71,17.47,14,P1445
2646911.21,715514.13,17.03,14,P1446
2646910.55,715513.6,16.55,14,P1447
2646909.89,715513.1,16.09,14,P1448
2646909.25,715512.62,15.65,14,P1449
2646908.61,715512.18,15.14,14,P1450
2646907.98,715511.75,14.6,14,P1451
2646907.38,715511.33,14.11,14,P1452
2646906.78,715510.91,13.56,14,P1453
2646906.17,715510.51,12.99,14,P1454
2646905.55,715510.12,12.44,14,P1455
2646904.91,715509.71,11.83,14,P1456
2646904.3,715509.31,11.29,14,P1457
2646903.68,715508.92,10.75,14,P1458
2646903.07,715508.54,10.14,14,P1459
2646902.49,715508.17,9.53,14,P1460
2646901.9,715507.81,8.9,14,P1461
2646901.34,715507.43,8.31,14,P1462
2646900.78,715507.06,7.73,14,P1463
2646900.25,715506.72,7.18,14,P1464
2646899.76,715506.43,6.64,14,P1465
2646899.3,715506.14,6.1,14,P1466
2646898.87,715505.87,5.64,14,P1467
2646898.45,715505.59,5.18,14,P1468
2646898.01,715505.3,4.92,14,P1469
2646897.58,715505.03,4.71,14,P1470
2646897.14,715504.77,4.46,14,P1471
2646896.73,715504.51,4.25,14,P1472
2646896.38,715504.28,4.06,14,P1473
2646905.18,715486.24,5.66,1,P1474
2646905.45,715484.88,6.18,1,P1475
2646905.75,715483.53,6.43,1,P1476
2646906.07,715482.19,6.88,1,P1477
2646906.36,715480.84,7.41,1,P1478
2646906.62,715479.53,7.79,1,P1479
2646907.1,715478.41,8.33,1,P1480
2646908.56,715476.23,9.11,1,P1481
2646909.59,715475.17,9.94,1,P1482
2646910.77,715474.15,10.72,1,P1483
2646911.95,715473.09,11.62,1,P1484
2646914.52,715470.66,12.51,1,P1485
2646913.27,715471.94,13.31,1,P1486
2646915.66,715469.26,14.11,1,P1487
2646916.63,715467.77,14.71,1,P1488
2646917.43,715466.26,15.18,1,P1489
2646918.05,715464.65,15.72,1,P1490
2646918.47,715463.01,16.04,1,P1491
2646918.79,715461.4,16.35,1,P1492
2646919.04,715459.78,16.62,1,P1493
2646919.27,715458.13,16.87,1,P1494
2646919.48,715456.55,17.04,1,P1495
2646919.77,715455.11,17.19,1,P1496
2646920.13,715453.75,17.28,1,P1497
2646920.58,715452.46,17.35,1,P1498
2646921.1,715451.22,17.42,1,P1499
2646921.73,715450.08,17.45,1,P1500
2646922.45,715449,17.43,1,P1501
2646923.21,715447.95,17.41,1,P1502
2646924.01,715446.9,17.36,1,P1503
2646924.86,715445.88,17.27,1,P1504
2646925.8,715444.87,17.19,1,P1505
2646926.79,715443.79,17.05,1,P1506
2646927.86,715442.63,16.89,1,P1507
2646928.97,715441.4,16.71,1,P1508
2646930.11,715440.06,16.61,1,P1509
2646931.21,715438.67,16.53,1,P1510
2646932.26,715437.37,16.46,1,P1511
2646933.21,715436.17,16.38,1,P1512
2646934.1,715435.09,16.29,1,P1513
2646896.62,715508.66,6.28,1,P1514
2646897.09,715508.77,6.64,1,P1515
2646897.59,715508.88,6.75,1,P1516
2646898,715508.94,6.91,1,P1517
2646898.51,715509,7.09,1,P1518
2646898.94,715509.01,7.21,1,P1519
2646899.4,715509,7.32,1,P1520
2646899.84,715508.96,7.57,1,P1521
2646900.31,715508.91,7.93,1,P1522
2646900.76,715508.83,8.23,1,P1523
2646901.23,715508.75,8.5,1,P1524
2646901.69,715508.64,8.74,1,P1525
2646902.17,715508.53,8.98,1,P1526
2646902.63,715508.42,9.21,1,P1527
2646903.07,715508.31,9.4,1,P1528
2646903.5,715508.18,9.69,1,P1529
2646903.95,715508.06,9.99,1,P1530
2646904.39,715507.9,10.34,1,P1531
2646904.83,715507.76,10.69,1,P1532
2646905.25,715507.61,10.91,1,P1533
2646905.66,715507.46,11.15,1,P1534
2646906.09,715507.31,11.47,1,P1535
2646906.51,715507.15,11.79,1,P1536
2646906.95,715507.03,12.24,1,P1537
2646907.38,715506.87,12.58,1,P1538
2646907.81,715506.77,12.96,1,P1539
2646908.24,715506.64,13.15,1,P1540
2646908.67,715506.53,13.43,1,P1541
2646909.1,715506.42,13.66,1,P1542
2646909.53,715506.3,13.91,1,P1543
2646909.96,715506.2,14.17,1,P1544
2646910.38,715506.09,14.5,1,P1545
2646910.81,715506,14.82,1,P1546
2646911.24,715505.92,15.07,1,P1547
2646911.65,715505.86,15.25,1,P1548
2646912.05,715505.8,15.62,1,P1549
2646912.45,715505.75,15.88,1,P1550
2646912.86,715505.75,16.28,1,P1551
2646913.25,715505.71,16.6,1,P1552
2646913.63,715505.75,16.91,1,P1553
2646913.99,715505.77,17.22,1,P1554
2646914.32,715505.84,17.53,1,P1555
2646914.65,715505.89,17.75,1,P1556
2646914.95,715506.01,17.92,1,P1557
2646915.25,715506.14,18.15,1,P1558
2646915.53,715506.31,18.46,1,P1559
2646915.79,715506.49,18.66,1,P1560
2646916.04,715506.73,18.86,1,P1561
2646916.3,715506.96,18.97,1,P1562
2646916.56,715507.25,19.04,1,P1563
2646916.87,715507.63,19.13,1,P1564
2646917.23,715508.07,19.22,1,P1565
2646917.65,715508.66,19.32,1,P1566
2646918.16,715509.4,19.43,1,P1567
2646901.23,715504.58,5.71,2,P1568
2646901.44,715503.45,5.61,2,P1569
2646901.63,715502.31,5.57,2,P1570
2646901.84,715501.18,5.51,2,P1571
2646902.06,715500.04,5.42,2,P1572
2646902.28,715498.94,5.34,2,P1573
2646902.56,715497.85,5.28,2,P1574
2646902.85,715496.75,5.2,2,P1575
2646903.13,715495.64,5.14,2,P1576
2646903.4,715494.53,5.07,2,P1577
2646903.68,715493.4,5.06,2,P1578
2646903.94,715492.3,5.09,2,P1579
2646904.29,715491.25,5.07,2,P1580
2646904.6,715490.18,5.08,2,P1581
2646904.91,715489.08,5.14,2,P1582
2646905.19,715487.97,5.25,2,P1583
2646905.47,715486.87,5.39,2,P1584
2646905.75,715485.75,5.57,2,P1585
2646906.04,715484.63,5.73,2,P1586
2646906.34,715483.48,5.99,2,P1587
2646906.64,715482.27,6.33,2,P1588
2646906.98,715481.03,6.83,2,P1589
2646907.38,715479.83,7.48,2,P1590
2646908.03,715478.72,8.23,2,P1591
2646908.9,715477.66,9.09,2,P1592
2646910,715476.66,9.91,2,P1593
2646911.28,715475.71,10.88,2,P1594
2646912.75,715474.75,11.87,2,P1595
2646914.27,715473.82,12.83,2,P1596
2646915.88,715472.95,13.82,2,P1597
2646917.46,715472,14.73,2,P1598
2646919.08,715471.01,15.55,2,P1599
2646920.6,715469.9,16.18,2,P1600
2646922,715468.74,16.7,2,P1601
2646923.2,715467.5,17.12,2,P1602
2646924.18,715466.22,17.38,2,P1603
2646924.9,715464.91,17.63,2,P1604
2646925.43,715463.63,17.71,2,P1605
2646925.82,715462.34,17.74,2,P1606
2646926.14,715461.01,17.76,2,P1607
2646926.38,715459.59,17.73,2,P1608
2646926.53,715458.08,17.66,2,P1609
2646926.59,715456.49,17.59,2,P1610
2646926.64,715454.83,17.52,2,P1611
2646926.62,715453.13,17.43,2,P1612
2646926.58,715451.37,17.34,2,P1613
2646926.55,715449.55,17.27,2,P1614
2646926.54,715447.77,17.19,2,P1615
2646926.64,715446.04,17.11,2,P1616
2646926.83,715444.42,17.02,2,P1617
2646927.14,715442.97,16.92,2,P1618
2646927.94,715440.43,16.8,2,P1619
2646928.47,715439.37,16.66,2,P1620
2646929.1,715438.34,16.52,2,P1621
2646929.85,715437.29,16.37,2,P1622
2646930.69,715436.21,16.19,2,P1623
2646931.6,715435.11,15.97,2,P1624
2646932.6,715433.94,15.72,2,P1625
2646933.68,715432.72,15.45,2,P1626
2646934.82,715431.41,15.17,2,P1627
2646935.98,715430.05,14.88,2,P1628
2646937.18,715428.67,14.58,2,P1629
2646938.4,715427.19,14.27,2,P1630
2646939.65,715425.65,13.97,2,P1631
2646940.93,715424.05,13.67,2,P1632
2646942.23,715422.39,13.36,2,P1633
2646943.54,715420.67,13.06,2,P1634
2646944.89,715418.89,12.78,2,P1635
2646946.24,715417.08,12.51,2,P1636
2646947.59,715415.2,12.25,2,P1637
2646948.95,715413.28,11.98,2,P1638
2646950.31,715411.31,11.7,2,P1639
2646951.68,715409.32,11.41,2,P1640
2646953.04,715407.29,11.12,2,P1641
2646954.38,715405.23,10.84,2,P1642
2646955.73,715403.13,10.56,2,P1643
2646957.05,715400.98,10.31,2,P1644
2646958.33,715398.81,10.08,2,P1645
2646959.58,715396.61,9.86,2,P1646
2646960.8,715394.4,9.73,2,P1647
2646962,715392.15,9.6,2,P1648
2646963.19,715389.86,9.48,2,P1649
2646964.37,715387.56,9.39,2,P1650
2646965.55,715385.23,9.32,2,P1651
2646935.41,715400.17,13.43,3,P1652
2646934.64,715401.6,13.58,3,P1653
2646933.86,715403.02,13.65,3,P1654
2646933.08,715404.39,13.74,3,P1655
2646932.28,715405.75,13.84,3,P1656
2646931.47,715407.1,13.94,3,P1657
2646930.67,715408.44,14.05,3,P1658
2646929.88,715409.75,14.23,3,P1659
2646929.09,715411.05,14.43,3,P1660
2646928.3,715412.33,14.63,3,P1661
2646927.51,715413.59,14.84,3,P1662
2646925.96,715416.09,15.05,3,P1663
2646926.74,715414.83,15.26,3,P1664
2646925.19,715417.33,15.46,3,P1665
2646924.44,715418.57,15.63,3,P1666
2646923.69,715419.8,15.76,3,P1667
2646922.2,715422.23,15.86,3,P1668
2646922.94,715421.02,15.91,3,P1669
2646921.46,715423.43,15.92,3,P1670
2646920.72,715424.62,15.89,3,P1671
2646920.01,715425.83,15.83,3,P1672
2646919.31,715427.03,15.72,3,P1673
2646918.63,715428.25,15.58,3,P1674
2646917.94,715429.5,15.4,3,P1675
2646917.31,715430.72,15.19,3,P1676
2646916.71,715431.95,14.98,3,P1677
2646916.14,715433.17,14.81,3,P1678
2646915.58,715434.41,14.68,3,P1679
2646915.07,715435.59,14.6,3,P1680
2646914.6,715436.74,14.55,3,P1681
2646914.17,715437.83,14.54,3,P1682
2646913.77,715438.89,14.56,3,P1683
2646913.39,715439.92,14.62,3,P1684
2646913.04,715440.92,14.71,3,P1685
2646912.71,715441.88,14.83,3,P1686
2646912.38,715442.82,14.97,3,P1687
2646912.08,715443.77,15.11,3,P1688
2646911.84,715444.7,15.19,3,P1689
2646911.6,715445.62,15.23,3,P1690
2646911.36,715446.56,15.23,3,P1691
2646911.15,715447.45,15.17,3,P1692
2646910.97,715448.39,15.07,3,P1693
2646910.73,715449.32,14.93,3,P1694
2646910.45,715450.26,14.75,3,P1695
2646910.18,715451.22,14.52,3,P1696
2646909.96,715452.17,14.26,3,P1697
2646909.75,715453.14,13.96,3,P1698
2646909.53,715454.13,13.64,3,P1699
2646909.31,715455.07,13.31,3,P1700
2646909.11,715456.05,12.97,3,P1701
2646908.93,715457,12.62,3,P1702
2646908.77,715457.98,12.26,3,P1703
2646908.62,715458.94,11.9,3,P1704
2646908.46,715459.91,11.54,3,P1705
2646908.34,715460.89,11.17,3,P1706
2646908.23,715461.82,10.8,3,P1707
2646908.1,715462.77,10.43,3,P1708
2646908,715463.67,10.07,3,P1709
2646907.93,715464.59,9.71,3,P1710
2646907.89,715465.48,9.36,3,P1711
2646907.82,715466.35,9.03,3,P1712
2646907.73,715467.14,8.71,3,P1713
2646907.6,715467.85,8.41,3,P1714
2646907.44,715468.55,8.13,3,P1715
2646907.29,715469.21,7.87,3,P1716
2646907.14,715469.88,7.64,3,P1717
2646907,715470.49,7.43,3,P1718
2646906.86,715471.05,7.24,3,P1719
2646906.72,715471.57,7.07,3,P1720
2646906.61,715472.06,6.98,3,P1721
2646906.54,715472.55,6.89,3,P1722
2646906.5,715473,6.82,3,P1723
2646906.47,715473.43,6.75,3,P1724
2646906.44,715473.85,6.69,3,P1725
2646904.52,715472.59,5.36,4,P1726
2646904.71,715472.22,5.49,4,P1727
2646904.88,715471.79,5.77,4,P1728
2646905.01,715471.27,5.97,4,P1729
2646905.06,715470.66,6.02,4,P1730
2646904.99,715470,6.05,4,P1731
2646904.88,715469.34,6.12,4,P1732
2646904.74,715468.8,6.28,4,P1733
2646904.7,715468.33,6.47,4,P1734
2646904.72,715467.95,6.64,4,P1735
2646904.83,715467.64,6.81,4,P1736
2646904.98,715467.35,6.98,4,P1737
2646905.16,715467.03,7.22,4,P1738
2646905.33,715466.65,7.35,4,P1739
2646905.51,715466.22,7.49,4,P1740
2646905.68,715465.73,7.76,4,P1741
2646905.86,715465.24,8.11,4,P1742
2646906.02,715464.74,8.44,4,P1743
2646906.21,715464.22,8.79,4,P1744
2646906.38,715463.69,9.15,4,P1745
2646906.57,715463.14,9.51,4,P1746
2646906.79,715462.58,9.93,4,P1747
2646907,715461.98,10.38,4,P1748
2646907.24,715461.32,10.83,4,P1749
2646907.48,715460.58,11.21,4,P1750
2646907.73,715459.8,11.62,4,P1751
2646908.02,715458.98,12.1,4,P1752
2646908.34,715458.15,12.57,4,P1753
2646908.73,715457.38,12.98,4,P1754
2646909.19,715456.69,13.38,4,P1755
2646909.69,715456,13.83,4,P1756
2646910.21,715455.23,14.27,4,P1757
2646910.75,715454.35,14.64,4,P1758
2646911.27,715453.35,15.03,4,P1759
2646911.78,715452.26,15.39,4,P1760
2646912.25,715451.1,15.76,4,P1761
2646912.69,715449.86,16.08,4,P1762
2646913.08,715448.58,16.31,4,P1763
2646913.46,715447.32,16.49,4,P1764
2646913.85,715446.06,16.69,4,P1765
2646914.27,715444.79,16.87,4,P1766
2646914.76,715443.57,16.99,4,P1767
2646915.31,715442.41,17.04,4,P1768
2646915.93,715441.28,17.08,4,P1769
2646916.65,715440.13,17.05,4,P1770
2646917.46,715438.92,16.99,4,P1771
2646918.34,715437.62,16.93,4,P1772
2646919.3,715436.24,16.87,4,P1773
2646920.3,715434.79,16.82,4,P1774
2646921.32,715433.26,16.72,4,P1775
2646922.34,715431.68,16.57,4,P1776
2646923.33,715430.03,16.42,4,P1777
2646924.27,715428.35,16.28,4,P1778
2646925.18,715426.65,16.12,4,P1779
2646926.06,715424.91,15.92,4,P1780
2646926.89,715423.2,15.71,4,P1781
2646927.66,715421.54,15.51,4,P1782
2646928.39,715419.92,15.3,4,P1783
2646929.08,715418.33,15.08,4,P1784
2646929.75,715416.79,14.81,4,P1785
2646930.38,715415.35,14.56,4,P1786
2646930.95,715414.03,14.3,4,P1787
2646931.51,715412.81,13.99,4,P1788
2646932.09,715411.64,13.68,4,P1789
2646932.71,715410.54,13.38,4,P1790
2646933.39,715409.49,13.14,4,P1791
2646934.11,715408.49,12.91,4,P1792
2646935.72,715406.63,12.7,4,P1793
2646934.88,715407.54,12.48,4,P1794
2646936.63,715405.76,12.26,4,P1795
2646937.6,715404.94,12.07,4,P1796
2646938.62,715404.14,11.89,4,P1797
2646939.69,715403.35,11.75,4,P1798
2646940.84,715402.54,11.66,4,P1799
2646942.02,715401.73,11.55,4,P1800
2646943.2,715400.89,11.43,4,P1801
2646944.34,715400.03,11.31,4,P1802
2646945.42,715399.17,11.19,4,P1803
2646946.42,715398.3,11.05,4,P1804
2646947.34,715397.44,10.92,4,P1805
2646948.19,715396.57,10.78,4,P1806
2646948.97,715395.7,10.64,4,P1807
2646949.68,715394.82,10.5,4,P1808
2646950.34,715393.96,10.36,4,P1809
2646950.99,715393.07,10.22,4,P1810
2646951.64,715392.1,10.1,4,P1811
2646952.27,715391.05,9.99,4,P1812
2646952.92,715389.92,9.89,4,P1813
2646953.56,715388.7,9.8,4,P1814
2646954.19,715387.4,9.74,4,P1815
2646954.82,715386.03,9.69,4,P1816
2646955.44,715384.59,9.64,4,P1817
2646956.07,715383.11,9.59,4,P1818
2646956.7,715381.63,9.56,4,P1819
2646927.49,715357.22,11.77,5,P1820
2646927.1,715358.12,11.83,5,P1821
2646926.66,715359.01,11.85,5,P1822
2646926.19,715359.94,11.88,5,P1823
2646925.71,715360.91,11.9,5,P1824
2646925.21,715361.93,11.93,5,P1825
2646924.71,715363.01,11.96,5,P1826
2646924.23,715364.14,12.01,5,P1827
2646923.23,715366.45,12.09,5,P1828
2646922.69,715367.66,12.16,5,P1829
2646922.14,715368.92,12.23,5,P1830
2646921.55,715370.22,12.32,5,P1831
2646920.93,715371.59,12.4,5,P1832
2646920.32,715373.03,12.49,5,P1833
2646919.69,715374.54,12.58,5,P1834
2646919.1,715376.09,12.69,5,P1835
2646918.53,715377.71,12.77,5,P1836
2646918,715379.41,12.85,5,P1837
2646917.48,715381.16,12.93,5,P1838
2646916.97,715382.96,12.99,5,P1839
2646916.49,715384.82,13.06,5,P1840
2646916.01,715386.74,13.14,5,P1841
2646915.52,715388.73,13.21,5,P1842
2646914.99,715390.69,13.28,5,P1843
2646914.48,715392.55,13.36,5,P1844
2646913.94,715394.32,13.45,5,P1845
2646913.38,715395.97,13.51,5,P1846
2646912.84,715397.49,13.61,5,P1847
2646912.29,715398.94,13.71,5,P1848
2646911.71,715400.3,13.82,5,P1849
2646911.12,715401.62,13.94,5,P1850
2646910.51,715402.89,14.07,5,P1851
2646909.88,715404.12,14.18,5,P1852
2646909.22,715405.34,14.34,5,P1853
2646908.53,715406.55,14.46,5,P1854
2646907.84,715407.76,14.58,5,P1855
2646907.19,715408.92,14.7,5,P1856
2646906.53,715410.07,14.84,5,P1857
2646905.92,715411.23,14.96,5,P1858
2646905.33,715412.4,15.08,5,P1859
2646904.74,715413.58,15.19,5,P1860
2646904.18,715414.75,15.3,5,P1861
2646903.67,715415.89,15.41,5,P1862
2646903.18,715417.01,15.5,5,P1863
2646902.72,715418.09,15.56,5,P1864
2646902.3,715419.16,15.65,5,P1865
2646901.93,715420.2,15.72,5,P1866
2646901.56,715421.16,15.8,5,P1867
2646901.23,715422.09,15.85,5,P1868
2646900.9,715423.04,15.91,5,P1869
2646900.6,715423.95,15.97,5,P1870
2646900.3,715424.88,16.04,5,P1871
2646899.97,715425.82,16.07,5,P1872
2646899.63,715426.77,16.08,5,P1873
2646899.28,715427.72,16.08,5,P1874
2646898.93,715428.67,16.06,5,P1875
2646898.59,715429.61,16.02,5,P1876
2646898.25,715430.55,15.98,5,P1877
2646897.93,715431.47,15.93,5,P1878
2646897.61,715432.34,15.87,5,P1879
2646897.29,715433.21,15.77,5,P1880
2646896.97,715434.06,15.63,5,P1881
2646896.64,715434.92,15.41,5,P1882
2646896.29,715435.78,15.2,5,P1883
2646895.95,715436.61,14.96,5,P1884
2646895.6,715437.43,14.72,5,P1885
2646895.27,715438.23,14.43,5,P1886
2646894.96,715439.02,14.13,5,P1887
2646894.65,715439.84,13.79,5,P1888
2646894.36,715440.65,13.41,5,P1889
2646894.09,715441.49,13.04,5,P1890
2646893.87,715442.29,12.67,5,P1891
2646893.69,715443.08,12.3,5,P1892
2646893.54,715443.86,11.94,5,P1893
2646893.43,715444.6,11.54,5,P1894
2646893.34,715445.34,11.2,5,P1895
2646893.3,715446.09,10.86,5,P1896
2646893.29,715446.83,10.56,5,P1897
2646893.31,715447.55,10.25,5,P1898
2646893.34,715448.27,9.96,5,P1899
2646893.36,715448.98,9.71,5,P1900
2646893.38,715449.66,9.44,5,P1901
2646893.43,715450.34,9.24,5,P1902
2646893.48,715451.03,9.06,5,P1903
2646893.54,715451.72,8.93,5,P1904
2646893.63,715452.39,8.78,5,P1905
2646893.74,715453.05,8.63,5,P1906
2646893.86,715453.72,8.47,5,P1907
2646894.03,715454.36,8.31,5,P1908
2646894.21,715455.03,8.2,5,P1909
2646894.43,715455.68,8.1,5,P1910
2646894.66,715456.33,7.99,5,P1911
2646894.89,715456.96,7.86,5,P1912
2646895.12,715457.58,7.71,5,P1913
2646895.31,715458.18,7.51,5,P1914
2646895.46,715458.73,7.32,5,P1915
2646895.55,715459.21,7.18,5,P1916
2646895.59,715459.66,7.06,5,P1917
2646895.56,715460.1,6.93,5,P1918
2646895.46,715460.47,6.8,5,P1919
2646895.33,715460.78,6.66,5,P1920
2646895.14,715461.06,6.53,5,P1921
2646894.93,715461.28,6.4,5,P1922
2646894.71,715461.5,6.3,5,P1923
2646894.51,715461.72,6.18,5,P1924
2646894.36,715461.95,6.08,5,P1925
2646894.25,715462.22,5.96,5,P1926
2646894.17,715462.53,5.91,5,P1927
2646894.13,715462.85,5.85,5,P1928
2646894.12,715463.19,5.8,5,P1929
2646894.16,715463.54,5.74,5,P1930
2646894.22,715463.91,5.68,5,P1931
2646903.81,715450.97,14.73,6,P1932
2646903.69,715449.92,15.04,6,P1933
2646903.64,715448.85,15.19,6,P1934
2646903.65,715447.78,15.28,6,P1935
2646903.74,715446.7,15.34,6,P1936
2646903.92,715445.59,15.4,6,P1937
2646904.21,715444.36,15.47,6,P1938
2646904.57,715443.06,15.63,6,P1939
2646905,715441.7,15.77,6,P1940
2646905.41,715440.34,15.91,6,P1941
2646905.81,715439.02,15.95,6,P1942
2646906.19,715437.73,15.98,6,P1943
2646906.52,715436.43,15.97,6,P1944
2646906.79,715435.1,15.93,6,P1945
2646907.01,715433.7,15.9,6,P1946
2646907.22,715432.23,15.87,6,P1947
2646907.39,715430.7,15.81,6,P1948
2646907.55,715429.11,15.72,6,P1949
2646907.69,715427.49,15.62,6,P1950
2646907.79,715425.88,15.52,6,P1951
2646907.88,715424.23,15.43,6,P1952
2646907.96,715422.61,15.34,6,P1953
2646908.02,715421.05,15.24,6,P1954
2646908.1,715419.57,15.14,6,P1955
2646908.21,715418.19,15.03,6,P1956
2646908.35,715416.93,14.93,6,P1957
2646908.55,715415.79,14.82,6,P1958
2646908.82,715414.76,14.7,6,P1959
2646909.19,715413.79,14.58,6,P1960
2646909.65,715412.87,14.45,6,P1961
2646910.21,715412,14.33,6,P1962
2646910.89,715411.13,14.19,6,P1963
2646911.74,715410.28,14.05,6,P1964
2646912.69,715409.37,13.91,6,P1965
2646913.72,715408.41,13.77,6,P1966
2646914.81,715407.38,13.64,6,P1967
2646915.96,715406.3,13.49,6,P1968
2646917.11,715405.15,13.34,6,P1969
2646918.29,715403.92,13.19,6,P1970
2646919.46,715402.62,13.03,6,P1971
2646920.64,715401.25,12.86,6,P1972
2646921.78,715399.79,12.69,6,P1973
2646922.9,715398.29,12.52,6,P1974
2646923.99,715396.73,12.35,6,P1975
2646925.06,715395.12,12.17,6,P1976
2646926.11,715393.45,12.01,6,P1977
2646927.14,715391.73,11.84,6,P1978
2646928.14,715389.96,11.69,6,P1979
2646929.1,715388.12,11.57,6,P1980
2646930.05,715386.26,11.44,6,P1981
2646930.96,715384.34,11.35,6,P1982
2646931.82,715382.36,11.28,6,P1983
2646932.61,715380.34,11.21,6,P1984
2646933.32,715378.29,11.16,6,P1985
2646933.96,715376.23,11.12,6,P1986
2646934.55,715374.18,11.06,6,P1987
2646935.12,715372.14,11.01,6,P1988
2646935.69,715370.13,10.95,6,P1989
2646936.3,715368.17,10.87,6,P1990
2646936.96,715366.22,10.78,6,P1991
2646937.71,715364.28,10.68,6,P1992
2646938.53,715362.37,10.64,6,P1993
2646939.45,715360.48,10.59,6,P1994
2646940.48,715358.58,10.54,6,P1995
2646941.62,715356.66,10.47,6,P1996
2646942.84,715354.74,10.4,6,P1997
2646744.44,715619.14,4.97,7,P1998
2646744.87,715618.34,4.99,7,P1999
2646745.37,715617.61,5.01,7,P2000
2646745.9,715616.91,5.04,7,P2001
2646746.47,715616.26,5.07,7,P2002
2646747.11,715615.66,5.1,7,P2003
2646747.84,715615.09,5.14,7,P2004
2646748.65,715614.53,5.2,7,P2005
2646749.56,715614.03,5.28,7,P2006
2646750.5,715613.54,5.37,7,P2007
2646751.48,715613.09,5.47,7,P2008
2646752.52,715612.67,5.58,7,P2009
2646753.64,715612.29,5.71,7,P2010
2646754.86,715611.95,5.85,7,P2011
2646756.19,715611.63,6,7,P2012
2646757.67,715611.37,6.16,7,P2013
2646759.27,715611.15,6.32,7,P2014
2646760.95,715610.97,6.5,7,P2015
2646762.72,715610.84,6.69,7,P2016
2646764.57,715610.74,6.88,7,P2017
2646766.5,715610.69,7.07,7,P2018
2646768.48,715610.68,7.26,7,P2019
2646770.54,715610.7,7.45,7,P2020
2646772.62,715610.76,7.63,7,P2021
2646774.78,715610.87,7.81,7,P2022
2646777,715610.99,7.98,7,P2023
2646779.27,715611.11,8.14,7,P2024
2646781.56,715611.22,8.29,7,P2025
2646783.89,715611.34,8.42,7,P2026
2646786.23,715611.42,8.54,7,P2027
2646788.6,715611.46,8.64,7,P2028
2646790.98,715611.43,8.72,7,P2029
2646793.36,715611.37,8.79,7,P2030
2646795.71,715611.18,8.84,7,P2031
2646798.06,715610.93,8.89,7,P2032
2646800.36,715610.56,8.92,7,P2033
2646802.61,715610.07,8.95,7,P2034
2646804.82,715609.44,8.97,7,P2035
2646806.95,715608.7,8.99,7,P2036
2646809.04,715607.85,9.01,7,P2037
2646811.12,715606.96,9.04,7,P2038
2646813.15,715605.92,9.07,7,P2039
2646815.14,715604.76,9.1,7,P2040
2646817.04,715603.5,9.14,7,P2041
2646818.9,715602.16,9.19,7,P2042
2646820.68,715600.73,9.24,7,P2043
2646822.41,715599.2,9.29,7,P2044
2646824.09,715597.59,9.35,7,P2045
2646825.71,715595.93,9.41,7,P2046
2646827.3,715594.22,9.47,7,P2047
