2025-03-03 13:20:40,151 - __main__ - 12 - DEBUG - Sucessfully Setup Logger for this programme.............
2025-03-03 13:20:40,552 - __main__ - 54 - DEBUG - {'trial_no': 1, 'h': 200, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 80600.0, 'P': 897.4271909999159, 'R': 89.81229988161519, 'T': 803.0, 'dp_dh': 4.47213595499958, 'R_2_3': 20.055055977916165, 'R_5_3': 1801.1907016311868, 'f_h': 1616395.0854131717, 'f_prime_h': 24159.37964884243, 'h_calc': 133.09451199047572, 'Q_calc': 380997.97532408754}
2025-03-03 13:20:40,552 - __main__ - 54 - DEBUG - {'trial_no': 2, 'h': 133.09451199047572, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 35827.5817799372, 'P': 598.2167524857291, 'R': 59.89063601289216, 'T': 535.3780479619029, 'dp_dh': 4.47213595499958, 'R_2_3': 15.307559284524553, 'R_5_3': 916.7794613552282, 'f_h': 548390.4057106692, 'f_prime_h': 12295.293600741721, 'h_calc': 88.49286004801318, 'Q_calc': 129266.85820521876}
2025-03-03 13:20:40,553 - __main__ - 54 - DEBUG - {'trial_no': 3, 'h': 88.49286004801318, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 15927.451139098535, 'P': 398.7521011814656, 'R': 39.94324065480024, 'T': 356.97144019205274, 'dp_dh': 4.47213595499958, 'R_2_3': 11.685003979031743, 'R_5_3': 466.7369259867635, 'f_h': 186069.90352932885, 'f_prime_h': 6258.523687276211, 'h_calc': 58.76222182935226, 'Q_calc': 43867.09685343838}
2025-03-03 13:20:40,554 - __main__ - 54 - DEBUG - {'trial_no': 4, 'h': 58.76222182935226, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 7082.284094132063, 'P': 265.7926450387074, 'R': 26.64589944955275, 'T': 238.04888731740903, 'dp_dh': 4.47213595499958, 'R_2_3': 8.921137979599708, 'R_5_3': 237.7117455800001, 'f_h': 63139.607207605266, 'f_prime_h': 3186.7462139828194, 'h_calc': 38.94903214686012, 'Q_calc': 14892.148139317567}
2025-03-03 13:20:40,556 - __main__ - 54 - DEBUG - {'trial_no': 5, 'h': 38.94903214686012, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 3150.9013067948667, 'P': 177.1853670764076, 'R': 17.783078584791397, 'T': 158.79612858744048, 'dp_dh': 4.47213595499958, 'R_2_3': 6.812993351245912, 'R_5_3': 121.15599616286738, 'f_h': 21424.64324675429, 'f_prime_h': 1623.7030548735731, 'h_calc': 25.754105166555533, 'Q_calc': 5059.83684142751}
2025-03-03 13:20:40,557 - __main__ - 54 - DEBUG - {'trial_no': 6, 'h': 25.754105166555533, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 1403.8101813596713, 'P': 118.17585970419344, 'R': 11.878992755995643, 'T': 106.01642066622213, 'dp_dh': 4.47213595499958, 'R_2_3': 5.20618677947291, 'R_5_3': 61.844255039718995, 'f_h': 7266.071600212997, 'f_prime_h': 828.5172042528156, 'h_calc': 16.98413447323024, 'Q_calc': 1722.6295003658663}
2025-03-03 13:20:40,557 - __main__ - 54 - DEBUG - {'trial_no': 7, 'h': 16.98413447323024, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 627.8740510292266, 'P': 78.95535844228081, 'R': 7.9522664885148355, 'T': 70.93653789292097, 'dp_dh': 4.47213595499958, 'R_2_3': 3.9840729645641906, 'R_5_3': 31.682409923901773, 'f_h': 2459.069624985746, 'f_prime_h': 424.3043873806863, 'h_calc': 11.188602543508605, 'Q_calc': 589.6082690790937}
2025-03-03 13:20:40,558 - __main__ - 54 - DEBUG - {'trial_no': 8, 'h': 11.188602543508605, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 283.93546138374023, 'P': 53.03695172102458, 'R': 5.35354035573625, 'T': 47.75441017403442, 'dp_dh': 4.47213595499958, 'R_2_3': 3.0602768748750258, 'R_5_3': 16.383315749369867, 'f_h': 826.4947195584383, 'f_prime_h': 219.41013255376205, 'h_calc': 7.421708508403265, 'Q_calc': 204.8066736048819}
2025-03-03 13:20:40,559 - __main__ - 54 - DEBUG - {'trial_no': 9, 'h': 7.421708508403265, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 132.42863989262065, 'P': 36.19088946795654, 'R': 3.6591706321524136, 'T': 32.68683403361306, 'dp_dh': 4.47213595499958, 'R_2_3': 2.374588942500594, 'R_5_3': 8.68902612183203, 'f_h': 272.0371770882172, 'f_prime_h': 116.47630079494525, 'h_calc': 5.086150328485322, 'Q_calc': 74.11977755130803}
2025-03-03 13:20:40,560 - __main__ - 54 - DEBUG - {'trial_no': 10, 'h': 5.086150328485322, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 66.99630131335866, 'P': 25.745955756552128, 'R': 2.6022068066480175, 'T': 23.344601313941286, 'dp_dh': 4.47213595499958, 'R_2_3': 1.8918841511744782, 'R_5_3': 4.9230738155757345, 'f_h': 84.32283377086029, 'f_prime_h': 66.18193666108563, 'h_calc': 3.812043857369596, 'Q_calc': 29.875082522747107}
2025-03-03 13:20:40,560 - __main__ - 54 - DEBUG - {'trial_no': 11, 'h': 3.812043857369596, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 40.49948831312732, 'P': 20.047978396577857, 'R': 2.0201282898449495, 'T': 18.248175429478383, 'dp_dh': 4.47213595499958, 'R_2_3': 1.5980338227785253, 'R_5_3': 3.2282333335239697, 'f_h': 22.293145258408224, 'f_prime_h': 43.598299902283195, 'h_calc': 3.3007132479565264, 'Q_calc': 15.254544728732395}
2025-03-03 13:20:40,561 - __main__ - 54 - DEBUG - {'trial_no': 12, 'h': 3.3007132479565264, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 31.69155563434102, 'P': 17.761238393329826, 'R': 1.7843100200852369, 'T': 16.202852991826106, 'dp_dh': 4.47213595499958, 'R_2_3': 1.471115855330362, 'R_5_3': 2.6249267613722287, 'f_h': 4.195543102570504, 'f_prime_h': 35.57530328663572, 'h_calc': 3.1827790994050336, 'Q_calc': 10.98889899286268}
2025-03-03 13:20:40,561 - __main__ - 54 - DEBUG - {'trial_no': 13, 'h': 3.1827790994050336, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 29.80850288943413, 'P': 17.23382084727043, 'R': 1.7296514309625852, 'T': 15.731116397620134, 'dp_dh': 4.47213595499958, 'R_2_3': 1.440917315573217, 'R_5_3': 2.492284696779982, 'f_h': 0.525181093507058, 'f_prime_h': 33.8130740131936, 'h_calc': 3.1672472050465927, 'Q_calc': 10.123786370856601}
2025-03-03 13:20:40,562 - __main__ - 54 - DEBUG - {'trial_no': 14, 'h': 3.1672472050465927, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 29.564651330890687, 'P': 17.164360104060794, 'R': 1.722444131424171, 'T': 15.668988820186371, 'dp_dh': 4.47213595499958, 'R_2_3': 1.4369117499752455, 'R_5_3': 2.4750002111192972, 'f_h': 0.05538801008525951, 'f_prime_h': 33.583491578734716, 'h_calc': 3.1655979420461864, 'Q_calc': 10.013055079175906}
2025-03-03 13:20:40,563 - __main__ - 54 - DEBUG - {'trial_no': 15, 'h': 3.1655979420461864, 'Q_design': 10.0, 'n': 0.03, 's_0': 5e-05, 'B': 3.0, 'm': 2.0, 'A': 29.53881448751266, 'P': 17.156984375697427, 'R': 1.7216786960157102, 'T': 15.662391768184746, 'dp_dh': 4.47213595499958, 'R_2_3': 1.4364860198206395, 'R_5_3': 2.4731673774495966, 'f_h': 0.005687182194456852, 'f_prime_h': 33.55914756337561, 'h_calc': 3.1654284746250094, 'Q_calc': 10.001340481698515}
